1,13.1,27,33.09
2,46.68,31,3.27
3,43.09,68,93.24
4,92.76,54,12.94
5,9.62,46,25.66
6,37.12,37,17.39
7,36.39,12,88.18
8,63.2,83,66.11
9,18.12,52,51.92
10,93.63,3,44.81
11,64.44,2,71.38
12,27.87,14,94.76
13,82.31,76,73.9
14,26.44,73,25.47
15,83.57,82,23.06
16,75.91,51,52.37
17,29.84,57,86.9
18,79.6,51,63.48
19,50.96,19,96.93
20,8.45,71,85.61
21,96.57,65,74.88
22,44.0,18,79.82
23,87.35,72,75.27
24,69.04,39,35.2
25,61.56,26,77.41
26,98.58,5,11.76
27,94.74,23,99.82
28,75.94,86,98.44
29,6.03,100,31.53
30,38.55,24,5.52
31,11.97,6,62.25
32,71.0,2,97.88
33,96.9,42,28.33
34,71.99,67,89.88
35,27.96,38,94.06
36,58.88,9,71.42
37,78.24,13,37.21
38,7.67,25,22.09
39,19.9,63,70.45
40,46.65,67,50.39
41,56.53,1,32.84
42,57.39,35,89.02
43,89.9,62,68.39
44,33.83,85,84.57
45,66.7,15,42.09
46,37.31,42,90.06
47,67.25,26,85.29
48,72.22,37,46.29
49,22.58,76,54.76
50,23.25,44,82.7
51,77.33,28,92.42
52,60.87,25,69.76
53,37.5,9,2.75
54,17.6,57,68.67
55,22.81,23,36.13
56,36.68,74,98.42
57,16.61,8,25.95
58,58.68,30,93.44
59,24.26,100,80.76
60,34.67,52,81.15
61,22.79,1,59.6
62,82.4,78,17.13
63,52.6,16,60.65
64,66.39,99,7.73
65,23.15,93,3.72
66,68.84,90,59.65
67,54.06,16,74.97
68,68.02,43,2.49
69,25.47,74,99.17
70,14.39,97,13.47
71,55.62,84,49.48
72,55.3,21,34.17
73,34.59,26,62.06
74,30.48,43,23.89
75,8.07,84,68.97
76,21.66,56,57.14
77,29.47,87,57.23
78,36.58,59,31.46
79,34.85,41,17.24
80,92.07,80,92.78
81,32.68,52,59.46
82,77.72,31,80.95
83,14.27,32,11.52
84,57.52,74,61.8
85,36.91,32,29.37
86,96.4,63,12.39
87,76.18,78,61.51
88,2.22,47,44.54
89,75.91,70,57.11
90,43.93,40,18.45
91,42.25,22,11.06
92,91.22,53,42.65
93,30.44,83,63.41
94,56.94,34,85.95
95,74.82,91,62.79
96,6.97,48,21.18
97,97.87,23,34.7
98,16.6,64,72.12
99,21.94,23,7.38
100,42.02,72,32.84
101,13.99,79,84.03
102,67.13,77,51.23
103,55.89,7,32.98
104,95.26,14,50.11
105,82.07,14,75.21
106,24.98,65,65.69
107,96.56,42,30.27
108,2.86,90,53.74
109,67.17,85,99.74
110,37.02,6,37.5
111,5.35,50,53.72
112,2.86,11,70.8
113,52.21,54,46.25
114,95.45,62,35.79
115,19.21,43,90.12
116,42.72,40,11.86
117,72.59,35,94.86
118,37.91,95,69.23
119,3.42,94,72.48
120,80.76,81,27.44
121,19.23,17,25.94
122,13.46,79,67.25
123,64.19,60,95.45
124,71.15,33,47.41
125,11.6,42,6.9
126,74.16,22,59.94
127,77.94,30,85.9
128,72.86,95,3.11
129,96.76,7,56.24
130,84.37,18,15.76
131,24.32,4,73.31
132,67.55,30,22.25
133,34.44,52,12.25
134,81.08,47,10.19
135,42.12,95,64.95
136,53.4,42,21.77
137,98.47,45,89.62
138,51.93,44,69.01
139,6.25,88,46.89
140,67.13,55,53.56
141,33.71,6,40.11
142,51.56,22,99.11
143,41.22,17,76.51
144,59.15,94,70.31
145,72.8,14,7.22
146,89.93,38,35.07
147,46.12,6,71.42
148,73.16,94,62.84
149,26.72,27,49.25
150,4.45,18,45.77
151,59.17,2,83.68
152,24.22,14,80.47
153,76.51,14,50.07
154,43.44,90,19.64
155,41.54,45,23.43
156,42.65,82,62.38
157,53.54,59,9.52
158,8.08,6,96.06
159,41.59,16,6.95
160,41.28,61,28.72
161,98.8,61,72.56
162,45.84,47,89.12
163,18.48,72,38.49
164,82.81,59,88.45
165,72.32,33,64.35
166,12.61,54,29.0
167,29.27,64,7.4
168,25.93,61,34.25
169,17.46,70,20.09
170,16.75,4,26.42
171,65.82,64,52.31
172,78.32,33,76.95
173,71.03,61,36.78
174,92.18,29,45.6
175,90.94,62,8.15
176,43.54,56,24.27
177,2.69,45,91.56
178,96.88,42,5.78
179,57.31,76,17.38
180,24.08,1,81.36
181,2.27,9,11.0
182,99.84,14,33.69
183,53.67,19,58.31
184,14.9,82,30.24
185,13.98,60,7.05
186,60.04,58,96.34
187,82.05,55,8.34
188,45.28,50,23.2
189,78.54,24,95.01
190,21.07,55,90.79
191,84.33,89,68.92
192,82.03,18,11.09
193,80.45,24,19.5
194,15.56,77,77.18
195,86.79,2,50.59
196,79.9,34,21.01
197,65.95,11,34.22
198,84.45,98,86.31
199,23.43,80,92.45
200,8.77,4,19.83
201,3.12,21,13.47
202,35.45,6,35.92
203,62.16,27,90.89
204,45.04,56,18.28
205,52.78,60,78.82
